name,passmark_multi,passmark_single,tdp,cores,cinebench_single,cinebench_multi,manufacturer,threads
06/8c,5040.0,2680.0,,8.0,,,,
06/8e,3848.0,2388.0,,8.0,,,,
06/9c,3191.0,1439.0,,4.0,,,,
1-Unisoc,2596.0,1083.0,,8.0,,,,
1045T,,,,,,,AMD,
1075T,,,,,,,AMD,
15/70,1085.0,878.0,,2.0,,,,
255e,,,,,,,AMD,
2800+,,,,,,,AMD,
3250 HE,,,,,,,AMD,
3260 HE,,,,,,,AMD,
3280,,,,,,,AMD,
3320 EE,,,,,,,AMD,
3350 HE,,,,,,,AMD,
3365,,,,,,,AMD,
3380,,,,,,,AMD,
4226,,,,,,,AMD,
4228 HE,,,,,,,AMD,
4230 HE,,,,,,,AMD,
4234,,,,,,,AMD,
4238,,,,,,,AMD,
4240,,,,,,,AMD,
4256 EE,,,,,,,AMD,
425e,,,,,,,AMD,
4274 HE,,,,,,,AMD,
4276 HE,,,,,,,AMD,
4280,,,,,,,AMD,
4284,,,,,,,AMD,
4310 EE,,,,,,,AMD,
4332 HE,,,,,,,AMD,
4334,,,,,,,AMD,
4340,,,,,,,AMD,
4365,,,,,,,AMD,
4376 HE,,,,,,,AMD,
4386,,,,,,,AMD,
460,,,,,,,AMD,
555,,,,,,,AMD,
565,,,,,,,AMD,
565,,,,,,,AMD,
570,,,,,,,AMD,
6132 HE,,,,,,,AMD,
6140,,,,,,,AMD,
6166 HE,,,,,,,AMD,
6176,,,,,,,AMD,
6180 SE,,,,,,,AMD,
6204,,,,,,,AMD,
620e,,,,,,,AMD,
6212,,,,,,,AMD,
6220,,,,,,,AMD,
6234,,,,,,,AMD,
6238,,,,,,,AMD,
6262 HE,,,,,,,AMD,
6272,,,,,,,AMD,
6274,,,,,,,AMD,
6276,,,,,,,AMD,
6278,,,,,,,AMD,
6282 SE,,,,,,,AMD,
6284 SE,,,,,,,AMD,
6308,,,,,,,AMD,
631,,,,,,,AMD,
631,,,,,,,AMD,
6320,,,,,,,AMD,
6328,,,,,,,AMD,
6338P,,,,,,,AMD,
6344,,,,,,,AMD,
6348,,,,,,,AMD,
6366 HE,,,,,,,AMD,
6370P,,,,,,,AMD,
